;Author;Key;Comments;Percentage;Reporter;Assignee;PMC;Official;Organization
0;id1200;HADOOP-10003;7;50.0;0.0;0.0;0;0;
1;id1507;HADOOP-10003;1;7.14;0.0;0.0;0;0;
2;id545;HADOOP-10003;1;7.14;0.0;0.0;1;1;Hortonworks
3;id932;HADOOP-10003;5;35.71;1.0;0.0;0;0;
4;id276;HADOOP-10006;3;50.0;0.0;0.0;0;0;
5;id315;HADOOP-10006;3;50.0;1.0;1.0;0;0;
6;id1411;HADOOP-10009;3;75.0;0.0;0.0;0;0;
7;id959;HADOOP-10009;1;25.0;1.0;1.0;1;1;Uber
8;id1117;HADOOP-10012;1;8.33;1.0;0.0;0;0;
9;id1200;HADOOP-10012;4;33.33;0.0;1.0;0;0;
10;id1351;HADOOP-10012;2;16.67;0.0;0.0;0;0;
11;id1507;HADOOP-10012;2;16.67;0.0;0.0;0;0;
12;id545;HADOOP-10012;3;25.0;0.0;0.0;1;1;Hortonworks
13;id1049;HADOOP-10015;3;15.79;0.0;0.0;1;1;Apple
14;id1136;HADOOP-10015;1;5.26;0.0;0.0;0;0;
15;id1200;HADOOP-10015;1;5.26;0.0;0.0;0;0;
16;id1371;HADOOP-10015;5;26.32;0.0;1.0;0;0;
17;id283;HADOOP-10015;1;5.26;0.0;0.0;0;0;
18;id402;HADOOP-10015;3;15.79;0.0;0.0;1;1;Verizon Media
19;id644;HADOOP-10015;3;15.79;0.0;0.0;1;1;Hortonworks
20;id959;HADOOP-10015;2;10.53;1.0;0.0;1;1;Uber
21;id509;HADOOP-10022;1;100.0;0.0;0.0;1;1;Hortonworks
22;id1349;HADOOP-10027;2;7.41;0.0;0.0;0;0;
23;id1422;HADOOP-10027;1;3.7;1.0;0.0;0;0;
24;id670;HADOOP-10027;11;40.74;0.0;1.0;0;0;
25;id88;HADOOP-10027;8;29.63;0.0;0.0;1;1;Hortonworks
26;id993;HADOOP-10027;5;18.52;0.0;0.0;1;1;Cloudera
27;id1411;HADOOP-10028;2;66.67;1.0;0.0;0;0;
28;id959;HADOOP-10028;1;33.33;0.0;1.0;1;1;Uber
29;id1200;HADOOP-10029;10;71.43;1.0;1.0;0;0;
30;id1507;HADOOP-10029;4;28.57;0.0;0.0;0;0;
31;id309;HADOOP-10030;1;33.33;1.0;1.0;0;0;
32;id88;HADOOP-10030;2;66.67;0.0;0.0;1;1;Hortonworks
33;id309;HADOOP-10031;2;50.0;1.0;1.0;0;0;
34;id88;HADOOP-10031;2;50.0;0.0;0.0;1;1;Hortonworks
35;id276;HADOOP-10037;2;22.22;0.0;0.0;0;0;
36;id342;HADOOP-10037;3;33.33;0.0;0.0;0;0;
37;id545;HADOOP-10037;1;11.11;0.0;0.0;1;1;Hortonworks
38;id653;HADOOP-10037;3;33.33;1.0;0.0;0;0;
39;id1411;HADOOP-10039;1;50.0;0.0;0.0;0;0;
40;id976;HADOOP-10039;1;50.0;0.0;0.0;0;0;
41;id1170;HADOOP-10040;2;14.29;1.0;0.0;0;0;
