username;Name;organization;roles;timezone;pmc;committer;git
aajisaka;Akira Ajisaka;Yahoo! JAPAN;;9,0;1;1;1
ab;Andrzej Bialecki;Getopt;;1,0;0;1;0
abmodi;Abhishek Modi;Microsoft;;5,5;0;1;0
acmurthy;Arun C Murthy, Arun C. Murthy;Hortonworks;;-8,0;1;1;1
adhoot;Anubhav Dhoot;Cloudera;;-8,0;0;1;1
aengineer;Anu Engineer;Hortonworks;;-8,0;1;1;1
ajay;Ajay Kumar;Hortonworks;;-8,0;0;1;1
amareshwari;Amareshwari Sriramadasu, Amareshwari Sri Ramadasu;InMobi;;5,5;1;1;1
amarrk;Amar Ramesh Kamat, Amar Kamat;Yahoo!;;5,5;0;1;1
arp;Arpit Agarwal;Hortonworks;;-8,0;1;1;1
arpit;Arpit Gupta;Hortonworks;;-8,0;0;1;0
asuresh;Arun Suresh;LinkedIn;;-8,0;1;1;1
atm;Aaron T. Myers, Aaron Myers;Cloudera;;-8,0;1;1;1
avijayan;Aravindan Vijayan;Cloudera;;-8,0;0;1;0
aw;Allen Wittenauer;Effective Machines;;-8,0;0;1;1
ayushsaxena;Ayush Saxena;Cloudera;;5,5;1;1;0
benoy;Benoy Antony;eBay;;-8,0;0;1;1
bharat;Bharat Viswanadham;Hortonworks;;-8,0;0;1;1
bibinchundatt;Bibin A Chundatt;Microsoft;;5,5;1;1;1
bikas;Bikas Saha;Hortonworks;;-8,0;1;1;1
billie;Billie Rinaldi;Microsoft/Cloudera;;-5,0;1;1;1
bobby;Robert(Bobby) Evans, Robert Joseph Evans;Nvidia;;-6,0;1;1;1
boryas;Boris Shkolnik;LinkedIn;;-8,0;0;1;1
botong;Botong Huang;Alibaba;;-8,0;0;1;0
brahma;Brahma Reddy Battula;Huawei;;5,5;1;1;1
brandonli;Brandon Li;Hortonworks;;-8,0;1;1;1
busbey;Sean Busbey;Cloudera;;-6,0;0;1;0
cdouglas;Chris Douglas;Microsoft;;-8,0;1;1;1
cliang;Chen Liang;LinkedIn;;-8,0;1;1;1
cmccabe;Colin Patrick McCabe, Colin McCabe;Cloudera;HDFS;-8,0;1;1;1
cnauroth;Chris Nauroth;Hortonworks;;-8,0;1;1;1
cos;Konstantin Boudnik;WANdisco;;-8,0;0;1;1
csingh;Chandni Singh;LinkedIn;;-8,0;0;1;0
ctrezzo;Chris Trezzo;Twitter;;-8,0;0;1;1
curino;Carlo Curino;Microsoft;;-8,0;0;1;1
cutting;Doug Cutting;Cloudera;;-8,0;1;1;1
daryn;Daryn Sharp;Verizon Media;;-6,0;1;1;1
ddas;Devaraj Das;Hortonworks;;-8,0;1;1;1
devaraj;Devaraj K, Devarajulu K;Intel;;5,5;1;1;1
dhruba;Dhruba Borthakur;Facebook;;-8,0;1;1;0
dineshc;Dinesh Chitlangia;Cloudera;;-5,0;0;1;0
dmollitor;David Mollitor;Cloudera;;-5,0;0;1;0
drankye;Kai Zheng;Intel;;8,0;0;1;1
ebadger;Eric Badger;Verizon Media;;-6,0;0;1;0
elek;Márton Elek;Hortonworks;;1,0;0;1;1
eli;Eli Collins;Cloudera;;-8,0;1;1;1
enis;Enis Soztutar;Hortonworks;;-6,0;1;1;1
epayne;Eric Payne, Eric E Payne;Verizon Media;;-8,0;1;1;1
eyang;Eric Yang;IBM;;-8,0;0;1;1
gabota;Gabor Bota;Cloudera;;1,0;0;1;1
gera;Gera Shegalov;Salesforce/Einstein Platform;;-8,0;0;1;1
gifuma;Giovanni Matteo Fumarola;Microsoft;;-8,0;0;1;1
gkesavan;Giridharan Kesavan;Hortonworks;RE;-8,0;1;1;1
gtcarrera9;Li Lu;Hortonworks;;-8,0;0;1;1
haibochen;Haibo Chen;LinkedIn;;5,5;1;1;1
hairong;Hairong Kuang;Facebook;HDFS;-8,0;1;1;1
hanishakoneru;Hanisha Koneru;Hortonworks;;-8,0;0;1;1
harsh;Harsh J;Cloudera;;-8,0;0;1;1
hemanthboyina;Hemanth Boyina;Huawei;;-8,0;0;1;0
hexiaoqiao;He Xiaoqiao;Meituan;;5,5;0;1;0
hitesh;Hitesh Shah;Hortonworks;;8,0;1;1;1
inigoiri;Íñigo Goiri, Inigo Goiri;Microsoft;;-8,0;1;1;1
ivanmi;Ivan Mitic;Microsoft;;-8,0;0;1;1
iwasakims;Masatake Iwasaki;NTT DATA;;9,0;1;1;1
